ID,Description,Quantity,CostPerItem,Date,,,,,,
yf6e04,"6"" nishiki kamuro peony w / green & spangle pistil 740",354,21.04,17/02/2015,,,,,,
yf6e05,"6"" nishiki kamuro peony w/purple & spangle pistil",229,24.52,17/02/2015,,,,,,
yf6p56,"6"" nishiki kamuro to crackling flowers 701",409,21.13,18/02/2015,,,,,,
yf6t69,"6"" nishiki kamuro to green swimming",113,25.39,18/02/2015,,,,,,
yf6t10,"6"" nishkiki kamuro to multicolor swimming",133,19.35,18/02/2015,,,,,,
yf6t13,"6"" nishkiki kamuro to red strobe w/red strobe pistil",117,22.48,18/02/2015,,,,,,
yf6t09,"6"" nishkiki kamuro to red swimming",104,21,18/02/2015,,,,,,
yf6t12,"6"" nishkiki kamuro to white strobe w/white strobe pistil",234,23.79,18/02/2015,,,,,,
wh6t03,"6"" octangonal chrys",142,11.54,18/02/2015,,,,,,
yf6k58,"6"" orange crackling w/crackling pistil 638",471,22.72,18/02/2015,,,,,,
yf6p120,"6"" orange palm tree 749",121,28.53,18/02/2015,,,,,,
yf6k91,"6"" orange strobing dahlia",158,18.17,18/02/2015,,,,,,
yf6t74,"6"" orange titanium salute small flowers (sos)",167,20.91,18/02/2015,,,,,,
yf6k68,"6"" peony w/palm tree",29,20.67,18/02/2015,,,,,,
hx6t18,"6"" purple coconut crossette",108,16.4,18/02/2015,,,,,,
hx6t01,"6"" purple coconut crossette",75,15.27,18/02/2015,,,,,,
yf6p93,"6"" purple dahlia 722",217,20.24,18/02/2015,,,,,,
yf6t66,"6"" purple falling leaves",96,23.39,19/02/2015,,,,,,
yf6p94,"6"" purple palm tree w/green pistil 723",359,22.12,19/02/2015,,,,,,
yf6k80,"6"" purple to blue strobing peony",492,19.43,19/02/2015,,,,,,
wh6t04,"6"" purple to dark to silver",392,16.38,19/02/2015,,,,,,
yf6p111,"6"" purple to green peony 739",271,25.47,19/02/2015,,,,,,
yf6k85,"6"" purple willow 663",246,20.66,19/02/2015,,,,,,
ld6072,"6"" red & green scattering w/coco pistil",475,13.23,19/02/2015,,,,,,
hx6t19,"6"" red coconut crossette",234,18.7,19/02/2015,,,,,,
yf6k47,"6"" red cycas blooms 715",263,18.41,19/02/2015,,,,,,
hq6n01,"6"" red cycas in blue crossette",388,15.21,19/02/2015,,,,,,
yf6t31,"6"" red falling leaves",33,21.11,19/02/2015,,,,,,
yf6p07,"6"" red gam to blue to green chyrs w/goldwave to red pistil 109-112",163,19.58,19/02/2015,,,,,,
yf6m02,"6"" red gam to crcklng chrys w/dbl crcklng pist 656 684-687 750-751",50,25.23,19/02/2015,,,,,,
yf6k92,"6"" red gamboge to blue to red strobing chrys w/green pistil",396,21.14,19/02/2015,,,,,,
yf6p77,"6"" red gamboge to blue to red to silver chrys w/mc strob pist 712",284,22.34,19/02/2015,,,,,,
yf6k132,"6"" red gamboge to crackling chyrs w/stobing & crackling pistil 758",325,25.35,19/02/2015,,,,,,
yf6t03,"6"" red gamboge to flying dragons",304,24.37,19/02/2015,,,,,,
yf6p29,"6"" red gamboge to flying dragons 654",17,25.94,19/02/2015,,,,,,
yf6p76,"6"" red gamboge to golden strobing chrys w/multicolor pistil 711",259,21.66,19/02/2015,,,,,,
yf6k19,"6"" red gamboge to green strobing w/orange strobing pistil",363,16.13,20/02/2015,,,,,,
yf6k93,"6"" red gamboge to green to blue to golden chrys",163,21.89,20/02/2015,,,,,,
yf6p32,"6"" red gamboge to green to golden chrys w/red or blue pistil",346,20.85,20/02/2015,,,,,,
js6n05,"6"" red gamboge to purple w/big blue pistil",409,17.06,20/02/2015,,,,,,
yf6p58,"6"" red gamboge to red to blue chrys w/blue to green pistil 702",75,22.58,20/02/2015,,,,,,
yf6t04,"6"" red gamboge to silver meteor w/white strobe pistil",296,17.18,20/02/2015,,,,,,
yf6t57,"6"" red gamboge to silver swimming",175,16.49,20/02/2015,,,,,,
yf6p24,"6"" red gamboge to silver to multicolor chrys",317,22.74,20/02/2015,,,,,,
yf6d04,"6"" red ghost peony w/ silver pistil",400,21.72,20/02/2015,,,,,,
yf6p27,"6"" red magic peony w/green pistil 652",113,23.91,20/02/2015,,,,,,
yf6k111,"6"" red palm tree w/green pistil",421,22.63,20/02/2015,,,,,,
js6n03,"6"" red peony w/big green pistil",179,14.2,20/02/2015,,,,,,
yf6k136,"6"" red peony w/bright white crossette pistil",188,23.62,20/02/2015,,,,,,
yf6p11,"6"" red peony w/silver coconut pistil 640",250,22.32,20/02/2015,,,,,,
yf6p14,"6"" red saturn with blue circle 642",67,19.36,20/02/2015,,,,,,
yf6k82,"6"" red small flowers bouquet",413,20.33,20/02/2015,,,,,,
hx6t31,"6"" red small flowers shell of shells",338,14.32,21/02/2015,,,,,,
yf6t59,"6"" red strobe crown",167,23.33,21/02/2015,,,,,,
hx6t12,"6"" red strobe, shell of shells",42,15.13,21/02/2015,,,,,,
yf6p12,"6"" red strobing nishiki kamuro w/green strobing pistil 641",71,21.96,21/02/2015,,,,,,
yf6p31,"6"" red strobing willow 657",183,21.87,21/02/2015,,,,,,
hx6t15,"6"" red to big silver chrys",409,17.56,21/02/2015,,,,,,
yf6k83,"6"" red to black to blue peony w/strobing pistil w/green circle",88,23.12,21/02/2015,,,,,,
yf6k74,"6"" red to blue peony w/gold strobing pistil",388,16.8,21/02/2015,,,,,,
yf6p73,"6"" red to blue thousand circles 710",379,20.82,21/02/2015,,,,,,
yf6p53,"6"" red to golden peony 698",434,29.12,21/02/2015,,,,,,
yf6k88,"6"" red to green peony w/blue pistil",96,13.41,21/02/2015,,,,,,
yf6k137,"6"" red to green peony w/green to red pistil",113,14.66,21/02/2015,,,,,,
yf6k98,"6"" red to green strobing peony",133,18.77,21/02/2015,,,,,,
yf6k90,"6"" red to green to purple peony",54,17.32,21/02/2015,,,,,,
yf6p43,"6"" red to silver ghost peony w/green pistil 673-674",88,20.32,21/02/2015,,,,,,
yf6p46,"6"" red to silver willow 679",234,23.13,21/02/2015,,,,,,
yf6k84,"6"" red willow 639",254,12.28,21/02/2015,,,,,,
yf6k109,"6"" revolving dragons w/ flowers 667",100,23.79,21/02/2015,,,,,,
ld6160,"6"" silver bees w/8 flower pistil",234,16.21,21/02/2015,,,,,,
yf6p42,"6"" silver dahlia w/red strobing pistil 672",204,22.03,21/02/2015,,,,,,
csp603,"6"" silver dragons cylinder w/salutes",404,12.05,21/02/2015,,,,,,
hq6p07,"6"" silver flower wave w/big purple pistil",242,19.04,21/02/2015,,,,,,
yf6p116,"6"" silver ghost peony w/green pistil 743",309,21.79,21/02/2015,,,,,,
ld6150,"6"" silver hearts",371,12.22,21/02/2015,,,,,,
yf6p36,"6"" silver meteors 662",154,25.48,21/02/2015,,,,,,
yf6k87,"6"" silver palm tree",71,21.44,21/02/2015,,,,,,
ld6054,"6"" silver spider",442,13.42,22/02/2015,,,,,,
hx6t30,"6"" silver strobe shell of shells",463,16.72,22/02/2015,,,,,,
yf6p95,"6"" silver ti salutes w/red strobing pistil 724",158,20.94,22/02/2015,,,,,,
wh6n02,"6"" silver to red lantern (wh6t05)",300,24.39,22/02/2015,,,,,,
yf6k38,"6"" small blue to silver flowers bouquet",321,18.46,22/02/2015,,,,,,
yf6k36,"6"" small green flowers bouquet",384,15.05,22/02/2015,,,,,,
yf6k123,"6"" small ti salute flowers bouquet",480,21.02,22/02/2015,,,,,,
yf6t76,"6"" spangle chrys w/multicolor flowers w/white pistil",409,19.47,22/02/2015,,,,,,
hq6p05,"6"" special spring",267,18.45,22/02/2015,,,,,,
yf6k61,"6"" strobing crackling w/blue crackling double pistil",350,17.73,22/02/2015,,,,,,
yf6k110,"6"" strobing palm tree",400,27.54,22/02/2015,,,,,,
hq6p02,"6"" thousands of silver coconut",150,14.61,22/02/2015,,,,,,
yf6p112,"6"" three circles 740",505,26.77,22/02/2015,,,,,,
yf6p48,"6"" three pistils (green & blue) w/ris falling lvs 688-691 706 727",492,25.02,22/02/2015,,,,,,
yf6p70,"6"" three pistils (green & golden strobing) w/red circle 706",480,25.14,22/02/2015,,,,,,
yf6p69,"6"" three pistils (red & blue to strobing) w/green circle 706",63,26.5,22/02/2015,,,,,,
yf6p80,"6"" three pistils red & aqua 714",213,27.4,22/02/2015,,,,,,
hq6t01/hx6t02*,"6"" time rain (crackling) willow waterfall",471,17.01,22/02/2015,,,,,,
hq6p08,"6"" triple cherry blossom (3x crackling)",446,14.38,22/02/2015,,,,,,
csp601,"6"" two stage brocade crown crossette",442,12.76,23/02/2015,,,,,,
ld6110,"6"" white flashing big willow",67,14.26,23/02/2015,,,,,,
yf6t33,"6"" white flying dragons",455,22.62,23/02/2015,,,,,,
yf6k100,"6"" white ghost peony",367,20.27,23/02/2015,,,,,,
js6n04,"6"" white peony w/big red pistil",250,15.37,23/02/2015,,,,,,
ld65048,"6"" white strobe lantern",334,10.36,23/02/2015,,,,,,
yf6k115,"6"" white strobing falling leaves",150,16.48,23/02/2015,,,,,,
yf6p124,"6"" white strobing willow 755 757",354,19.66,23/02/2015,,,,,,
hx6t13,"6"" white wave",234,13.47,23/02/2015,,,,,,
yf6t35,"6"" whtie titanium salute small flowers (sos)",309,16.99,23/02/2015,,,,,,
yf6p125,"6"" yellow crossette",263,23.25,23/02/2015,,,,,,
yf6k101,"6"" yellow ghost peony w/green pistil",471,14.59,23/02/2015,,,,,,
yf6p15,"6"" yellow meteor 643",309,26.5,23/02/2015,,,,,,
yf8p66,"8"" 1/2 red strob 1/2 grn strob w/goldwave to red & grn dbl pist 837",375,39.75,23/02/2015,,,,,,
yf8m04,"8"" 1/4 blue, red, green, yel pe w/crackling pistil w/circle 782",204,33.83,23/02/2015,,,,,,
yf8p44,"8"" blue cherry blossom w/rising tail 812",459,31.33,23/02/2015,,,,,,
yf8p42,"8"" blue peony w/flower sheets w/blue pistil w/ris falling lvs 811",329,41.81,23/02/2015,,,,,,
yf8p43,"8"" blue peony w/rising small flowers 811",196,45.14,23/02/2015,,,,,,
yf8t64,"8"" blue peony w/silver palm tree & red pistil",388,47.13,23/02/2015,,,,,,
yf8t63,"8"" blue titanium salute small flowers",117,42.03,23/02/2015,,,,,,
yf8t21,"8"" blue to green strobe peony w/red strobe pistil",384,33.96,24/02/2015,,,,,,
yf8t20,"8"" blue to nishiki kamuro 5-angle star pattern",430,46.4,24/02/2015,,,,,,
sn88035,"8"" bowtie flower w/palm pistil",229,26.59,24/02/2015,,,,,,
sm804,"8"" brocade crown",163,41.54,24/02/2015,,,,,,
sm802,"8"" brocade crown w/big blood-red pistil",279,39.19,24/02/2015,,,,,,
sm801,"8"" brocade crown w/big special green strobe pistil",388,43.6,24/02/2015,,,,,,
yf8p67,"8"" colorful ti salutes 838-841",150,36.95,24/02/2015,,,,,,
sm803,"8"" crackling brocade crown",325,46.24,24/02/2015,,,,,,
yf8k46,"8"" crackling crossette w/crackling pistil",417,32.52,24/02/2015,,,,,,
yf8k60,"8"" crackling nishiki kamuro niagra falls 118-122",263,48.12,24/02/2015,,,,,,
yf8t46,"8"" crackling nishiki kamuro w/multicolor meteors pistil",229,49.62,24/02/2015,,,,,,
yf8t47,"8"" crackling ten thous circle chrys w/double crcklng pistils",163,30.48,24/02/2015,,,,,,
yf8k18,"8"" crackling thousand circle chrys w/double crackling pistil",321,51.64,24/02/2015,,,,,,
sn82012,"8"" crossette gold glitter",142,34.25,24/02/2015,,,,,,
sn82702,"8"" crossette golden",21,37.42,24/02/2015,,,,,,
hx8t11,"8"" dream ghost (",275,47.11,25/02/2015,,,,,,
yf8p68,"8"" eight hearts red & blue 842-846 855",108,37.87,25/02/2015,,,,,,
yf8p51,"8"" five willows 863-865 819",54,39.8,25/02/2015,,,,,,
sn8002,"8"" four color change peony",50,37.79,25/02/2015,,,,,,
yf8t61,"8"" glittering silver chrys to red",321,50.2,25/02/2015,,,,,,
yf8t07,"8"" glittering silver to blue to strobe w/gold strobe pistil",29,40.42,25/02/2015,,,,,,
yf8p55,"8"" glittering silver to golden chrys w/rising comets 823",209,46.49,25/02/2015,,,,,,
yf8t08,"8"" glittering silver to multicolor w/gold strobe pistil",217,37.35,25/02/2015,,,,,,
yf8t10,"8"" glittering silver to white strobe w/gold strobe pistil",50,33.12,25/02/2015,,,,,,
yf8p58,"8"" glittering to purple to strobing chrys w/rising comets 829",279,52,25/02/2015,,,,,,
sn89086a,"8"" gold brocade kamuro to green w/green strobe pist",359,36.97,25/02/2015,,,,,,
sn89111,"8"" gold brocade waterfall",200,39.16,25/02/2015,,,,,,
yf8k22,"8"" gold coconut w/ rising tail 800",96,42.92,25/02/2015,,,,,,
sn89263,"8"" gold popping brocade kamuro w/crcklng flwr pist",350,40.76,25/02/2015,,,,,,
sn8017,"8"" gold spider w/strobe pistil",288,38.55,25/02/2015,,,,,,
yf8pgw,"8"" gold willow",334,45.56,26/02/2015,,,,,,
yf8p71,"8"" gold willow thousand circles chrys 855",279,43.1,26/02/2015,,,,,,
yf8t03,"8"" gold willow to green willow w/green falling leaves",284,37.16,26/02/2015,,,,,,
yf8t62,"8"" gold willow to purple strobe",209,44.58,26/02/2015,,,,,,
yf8p23,"8"" gold willow w/mc meteors pistil 796-797",342,37.52,26/02/2015,,,,,,
yf8m01,"8"" gold willow w/multicolor falling leaves pistil 798",46,40.92,26/02/2015,,,,,,
yf8p19,"8"" goldwave to blue butterfly w/circle w/rising tail 793-794",129,51.66,26/02/2015,,,,,,
yf8p17,"8"" goldwave to mc flower sheets w/blue pistil 792",379,50.82,26/02/2015,,,,,,
yf8p73,"8"" green & crackling ghost peony 856",496,36.79,26/02/2015,,,,,,
yf8e10,"8"" green & golden coconut crossette w/spngl & crcklng pist w/4 spngl tls",129,46.56,26/02/2015,,,,,,
yf8e11,"8"" green & purple coconut crossette w/spngl & crcklng pist w/4 spngl tls",138,41.37,26/02/2015,,,,,,
yf8p75,"8"" green chrys to crackling balls 858",246,30.83,26/02/2015,,,,,,
yf8t59,"8"" green strobe ten thousand circle chrys",292,40.21,26/02/2015,,,,,,
yf8t16,"8"" green strobe willow w/blue small flowers",421,36.87,26/02/2015,,,,,,
yf8p74,"8"" green strobing willow 857",279,41.64,26/02/2015,,,,,,
yf8p37,"8"" green thousand circle chrys w/red strob pist w/ris fall lvs 807",334,42.22,26/02/2015,,,,,,
yf8p38,"8"" green to purple to silver peony 808",467,43.58,26/02/2015,,,,,,
yf8t50,"8"" half lemon peony w/ring & purple pistil",175,27.92,26/02/2015,,,,,,
yf8t60,"8"" kamuro chrys to red strobe",496,29.53,26/02/2015,,,,,,
yf8t49,"8"" kamuro chrys to white strobe",158,42.79,26/02/2015,,,,,,
yf8t66,"8"" lemon & yellow flying dragons w/crackling pistil",42,40.38,26/02/2015,,,,,,
yf8k32,"8"" lemon ghost peony w/aqua pistil 809",450,40.08,26/02/2015,,,,,,
yf8d03,"8"" lemon peony in magenta circle  w/ris flwr 810",484,36.93,27/02/2015,,,,,,
yf8t45,"8"" light green peony w/gold coconut & magenta pistil w/tail",25,25.54,27/02/2015,,,,,,
yf8t44,"8"" light green peony w/gold palm tree & silver pistil",250,37.43,27/02/2015,,,,,,
yf8p53,"8"" magenta peony w/lem cir w/strob pistils w/ris sml flwrs 821-822",175,43.4,27/02/2015,,,,,,
yf8e14,"8"" mixed golden & purple peony w/4 spangle tails",463,48.32,27/02/2015,,,,,,
yf8t24,"8"" multicolor 10 thousand circles",17,30.85,27/02/2015,,,,,,
yf8e07,"8"" multicolor coconut crossette w/4 silver tails",384,42.3,27/02/2015,,,,,,
yf8p04,"8"" multicolor meteors 783-784",329,47.12,27/02/2015,,,,,,
yf8e04,"8"" multicolor peony in nishiki kamuro circle w/4 spangle tails 784",484,33.75,27/02/2015,,,,,,
yf8t56,"8"" multicolor ten thousand circle chrys w/tail",413,27.56,27/02/2015,,,,,,
yf8p80,"8"" multicolor thousand circles chrys 866-868",221,40.06,27/02/2015,,,,,,
yf8t31,"8"" nishiki kamuro crackling flowers",50,45.94,27/02/2015,,,,,,
yf8t57,"8"" nishiki kamuro crackling w.crackling pistil",188,30.53,27/02/2015,,,,,,
yf8c08,"8"" nishiki kamuro niagra falls 113-117",200,43.69,27/02/2015,,,,,,
yf8t33,"8"" nishiki kamuro niagra falls w/purple pistil",129,38.33,27/02/2015,,,,,,
yf8t38,"8"" nishiki kamuro to green strobe w/green strobe pistil",92,44.14,28/02/2015,,,,,,
yf8t65,"8"" nishiki kamuro to red swimming",58,41.84,28/02/2015,,,,,,
yf8t39,"8"" nishiki kamuro to white strobe w/white strobe pistil",167,39.65,28/02/2015,,,,,,
yf8t30,"8"" nishiki kamuro w/blue pistil",225,39.41,28/02/2015,,,,,,
yf8t27,"8"" nishiki kamuro w/green pistil",209,40.36,28/02/2015,,,,,,
yf8t28,"8"" nishiki kamuro w/red pistil",455,39.92,28/02/2015,,,,,,
yf8p01,"8"" orange crackling w/crackling pistil 123-126 785",309,37.98,28/02/2015,,,,,,
yf8t52,"8"" orange strobe kamuro chrys w/orange strobe pist w/tail",133,36.94,28/02/2015,,,,,,
ld8149,"8"" pattern silver crackling stars",342,32.59,28/02/2015,,,,,,
yf8t55,"8"" pink ten thousand circle chrys w/tail",271,46.43,28/02/2015,,,,,,
yf8t53,"8"" purple & light green ten thousand circle chrys w/tail",359,39.9,28/02/2015,,,,,,
yf8t23,"8"" purple 10 thousand circles",505,41.99,28/02/2015,,,,,,
yf8k26,"8"" purple crackling w/crackling pistil",129,36.48,28/02/2015,,,,,,
yf8p63,"8"" purple crossette 835-836",250,37.8,1/03/2015,,,,,,
yf8t22,"8"" purple cycas",304,44.11,1/03/2015,,,,,,
yf8p82,"8"" purple cycas blooms 870",500,45.75,1/03/2015,,,,,,
yf8k31,"8"" purple ghost peony w/green pistil (color moves across peony)",163,39.09,1/03/2015,,,,,,
yf8e05,"8"" purple peony in nishiki kamuro circle w/spngle pistl w/4 purple tls",46,47.04,1/03/2015,,,,,,
yf8p64,"8"" purple to green strobing peony w/red to blue pistil w/tail 834",129,47.73,1/03/2015,,,,,,
yf8k39,"8"" red crackling w/crackling pistil 825-826 788",129,43.69,1/03/2015,,,,,,
yf8p318,"8"" red cycas blooms w/blue crossette w/ 4 red tails",246,42.01,1/03/2015,,,,,,
yf8p13,"8"" red eddy in chrys w/rising small flowers 791",242,42.85,1/03/2015,,,,,,
yf8ecc,"8"" red gam to crcklng chrys w/crcklng pist w/green circle",346,42.2,1/03/2015,,,,,,
yf8p02,"8"" red gam to white strobing chrys w/blue to sil pist w/red pist 127-130",392,44.5,1/03/2015,,,,,,
yf8p31,"8"" red gamboge to red rose w/rising comets 804",171,42.59,1/03/2015,,,,,,
yf8t12,"8"" red gan to crackling chrys w/crackling pistil",300,37.04,1/03/2015,,,,,,
yf8k90,"8"" red ghost peony w/green crackling pistil",50,47.54,2/03/2015,,,,,,
sn82712,"8"" red palm crossette",292,33.61,2/03/2015,,,,,,
yf8p09,"8"" red peony w/silver coconut pistil 788",492,39.94,2/03/2015,,,,,,
wh8n01,"8"" red strobe willow w/crackling pistil",400,37.36,2/03/2015,,,,,,
yf8p70,"8"" red strobing willow 851-852",425,43.37,2/03/2015,,,,,,
yf8p15,"8"" red to silver ghost peony w/blue pistil 791 853-854",484,41.34,2/03/2015,,,,,,
yf8p52,"8"" revolving dragons w/purple pistil",209,47.78,2/03/2015,,,,,,
sn88038,"8"" silver brocade dragon",183,28.49,2/03/2015,,,,,,
yf8p62,"8"" silver coconut w/rising tail 834",121,38.32,2/03/2015,,,,,,
yf8p60,"8"" silver kamuro chrys w/rising small flowers 831-832",92,44.48,2/03/2015,,,,,,
yf8t05,"8"" silver kamuro chrys w/strobe pistil",42,47.73,2/03/2015,,,,,,
yf8p61,"8"" silver meteors 833",46,36.58,2/03/2015,,,,,,
yf8t04,"8"" silver nishiki kamuro",505,40.15,3/03/2015,,,,,,
sn8016,"8"" silver spider w/strobe pistil & silver",217,34.89,3/03/2015,,,,,,
sn89145,"8"" small red coconut",434,37.36,3/03/2015,,,,,,
yf8p79,"8"" small ti salute flowers 861-862",329,31.86,3/03/2015,,,,,,
yf8t40,"8"" spangle chrys w/multi color small flowers",450,37.69,3/03/2015,,,,,,
yf8k45,"8"" strobing (gold) crossette w/crackling pistil",375,39.45,3/03/2015,,,,,,
yf8p50,"8"" strobing thousand circles w/comets 816",192,38.91,3/03/2015,,,,,,
hx8t10,"8"" sunglow (",183,33.36,3/03/2015,,,,,,
yf8p14,"8"" three pisitls - red & silver 791 848-850 852",142,48.07,3/03/2015,,,,,,
yf8e15,"8"" three pistil - green to red to gold spngle in red crcl w/4 red tails",350,49.49,3/03/2015,,,,,,
yf8e3p,"8"" three pistil - silver to green to red in red circle w/4 red tails",92,43.53,3/03/2015,,,,,,
yf8p46,"8"" three pistils, magenta & lemon strobing 814",409,29.1,4/03/2015,,,,,,
yf8t58,"8"" white strobe ten thousand circle chrys",421,45.31,4/03/2015,,,,,,
yf8p03,"8"" white strobing kamuro chrys w/mc swimming pistil 782",175,38.57,4/03/2015,,,,,,
yf8k28,"8"" yellow crackling w/crackling pistil 792",309,41.5,4/03/2015,,,,,,
yf10t11,"10"" 1/4 peony w/crackling pisitl",42,94.61,4/03/2015,,,,,,
yf10t12,"10"" blue and red double mum",325,87.14,4/03/2015,,,,,,
yf10k67,"10"" blue crackling",25,53.49,4/03/2015,,,,,,
yf10k68,"10"" blue crackling w/crackling pistil",459,78.63,4/03/2015,,,,,,
yf10k93,"10"" blue eddy chrys w/gold strobing pistil",83,78.57,4/03/2015,,,,,,
yf10k91,"10"" blue eddy chrys w/red pistil",471,61.87,4/03/2015,,,,,,
yf10k101,"10"" blue peony in nishiki kamuro circle w/crcklng doubl pist w/4 tails",167,86.79,4/03/2015,,,,,,
yf10k75,"10"" blue small flowers",125,78.93,4/03/2015,,,,,,
yf10k83,"10"" blue to red to silver peony",183,69.08,4/03/2015,,,,,,
yf10k102,"10"" blue to red to silver peony w/bright white strobing pistil w/4 red tails",167,77.17,4/03/2015,,,,,,
yf10k100,"10"" colorful ti salutes  910",104,81,4/03/2015,,,,,,
yf10k02,"10"" crackling coconut",463,56.09,4/03/2015,,,,,,
yf10k13,"10"" crackling coconut to green crown flowers",467,50.33,4/03/2015,,,,,,
yf10k54,"10"" crackling kamuro chrys w/gold strobing pistil",121,63.26,5/03/2015,,,,,,
yf10e01,"10"" crackling nishiki kamuro niagra falls w/4 tails 141-150",200,76.51,5/03/2015,,,,,,
yf10k96,"10"" double palm tree w/aqua pistil",63,80.2,5/03/2015,,,,,,
yf10k95,"10"" double palm tree w/green pistil",334,61.57,5/03/2015,,,,,,
yf10k94,"10"" double palm tree w/red pistil",225,67.31,5/03/2015,,,,,,
yf10k92,"10"" double palm tree w/red to strobing pistil",475,75.3,5/03/2015,,,,,,
yf10pc1,"10"" eight hearts blue & red-884-886 & 887",484,66.87,5/03/2015,,,,,,
yf10k,"10"" glittering silver purple chrys w/ green pistil",375,75.3,5/03/2015,,,,,,
yf10k37,"10"" glittering silver to blue to red chrys w/ red pistil",113,65.79,5/03/2015,,,,,,
yf10k36,"10"" glittering silver to cracking chrys w/crackling pistil",421,77.3,5/03/2015,,,,,,
yf10p10,"10"" glittering silver to crackling to green w.red & purple pisitl 896-907",300,81.42,5/03/2015,,,,,,
yf10k29,"10"" glittering silver to gold chrys",250,63.45,6/03/2015,,,,,,
yf10t04,"10"" glittering silver to green to red",379,78.18,6/03/2015,,,,,,
yf10p13,"10"" glittering silver to multicolor strobing chrys  889 908",150,89.59,6/03/2015,,,,,,
yf10t06,"10"" glittering silver to purple w/green strrobe pistil",292,61.05,6/03/2015,,,,,,
yf10k32,"10"" glittering silver to red chrys",434,61.86,6/03/2015,,,,,,
yf10k103,"10"" glittering silver to red crossette w/red strob pistil w/4 silver tls",392,79.48,6/03/2015,,,,,,
yf10k01,"10"" gold coconut",267,45.08,6/03/2015,,,,,,
yf10k19,"10"" gold coconut crossette",271,68.82,6/03/2015,,,,,,
yf10k104,"10"" gold coconut crossette to multicolor small flowers w/4 red tails",71,92.92,6/03/2015,,,,,,
yf10k05,"10"" gold strobing diadem",505,59.62,6/03/2015,,,,,,
yf10k06,"10"" gold strobing diadem w/green strobing pistil",309,64.71,6/03/2015,,,,,,
yf10k105,"10"" gold strobing diadem w/grn strob tips w/grn strob pist w/4 grn tails",392,68.25,6/03/2015,,,,,,
yf10k07,"10"" gold strobing diadem w/red strobing pistil",296,96.49,6/03/2015,,,,,,
yf10m01,"10"" gold willow",375,68.34,6/03/2015,,,,,,
yf10t01,"10"" gold willow ten thousand circle chrys",75,62.59,7/03/2015,,,,,,
yf10k12,"10"" gold willow thousand circle chrys",171,81,7/03/2015,,,,,,
yf10k21,"10"" gold willow w/mulitcolor falling leaves pistil",238,70.13,7/03/2015,,,,,,
yf10k22,"10"" gold willow w/multicolor meteors pistil",108,57.23,7/03/2015,,,,,,
yf10k31,"10"" goldwave to blue chrys w/red & green pistil",275,93.65,7/03/2015,,,,,,
yf10t03,"10"" goldwave to blue swimming w/crackling pistil",438,57.18,7/03/2015,,,,,,
yf10p02,"10"" goldwave to crackling to purple w/green & blue pistil 873-883",33,90.99,7/03/2015,,,,,,
yf10k106,"10"" goldwave to purple chrys w/4 purple tails",29,52.64,7/03/2015,,,,,,
yf10t02,"10"" goldwave to purple swimming w/crackling pistil",50,85.69,7/03/2015,,,,,,
yf10k107,"10"" goldwave to red to green chrys w/4 red tails",338,73.77,7/03/2015,,,,,,
yf10m03,"10"" goldwave to var (multicolor) swimming w/crackling pistil",46,80.1,7/03/2015,,,,,,
yf10k18,"10"" green coconut crossette w/red small flowers",375,47.87,7/03/2015,,,,,,
yf10k108,"10"" green coconut crossette w/white strobing pistil w/4 green tails",158,69.19,7/03/2015,,,,,,
yf10k77,"10"" green small falling leaves bouquet",142,75.27,7/03/2015,,,,,,
yf10k109,"10"" japanese dragon's eye w/4 silver tails",325,78.55,7/03/2015,,,,,,
yf10k70,"10"" kamuro chrys crackling w/crackling pistil",267,68.29,7/03/2015,,,,,,
yf10t25,"10"" kamuro chrys niagra falls w/smile face",404,88.78,7/03/2015,,,,,,
yf10k55,"10"" kamuro chrys to red strobing w/white strobing pistil",271,56.08,8/03/2015,,,,,,
yf10k52,"10"" kamuro chrys w/gold willow pistil",58,67.71,8/03/2015,,,,,,
yf10k85,"10"" lemon peony w/magenta circle w/crackling pistil",417,78.64,8/03/2015,,,,,,
yf10t22,"10"" light green and silver double mum",488,81.25,8/03/2015,,,,,,
yf10t23,"10"" light green peony w/gold coconut & magenta pistil",150,57.77,8/03/2015,,,,,,
yf10t24,"10"" light green, yellow green, & pink 3-stage ten thous circles",379,87.65,8/03/2015,,,,,,
yf10k86,"10"" magenta to aqua to gold strobing peony w/muticolor small flowers",409,71.58,8/03/2015,,,,,,
yf10k110,"10"" multicolor coconut crossette w/4 silver tails",430,86.52,8/03/2015,,,,,,
yf10p03,"10"" multicolor meteor 887",79,87.74,8/03/2015,,,,,,
yf10t21,"10"" multicolor palm tree to crown flowers",367,63.98,8/03/2015,,,,,,
yf10c06,"10"" multicolor palm tree w/crown flowers w/4 strobe tails",371,77.41,8/03/2015,,,,,,
yf10t20,"10"" multicolor ten thousand circles chrys w/tail",500,89.73,8/03/2015,,,,,,
yf10k111,"10"" multicolor thousand circle chrys w/4 gold strobe tails",388,58.84,9/03/2015,,,,,,
yf10c08,"10"" nishiki kamuro niagra falls w/gold strobe tails 131-140",367,88.94,9/03/2015,,,,,,
yf10t19,"10"" nishiki kamuro niagra falls w/green pistil",17,54.06,9/03/2015,,,,,,
yf10k112,"10"" nishiki kamuro peony in grn strobe circle w/grn strb pist w/4 grn tls",475,60.24,9/03/2015,,,,,,
